               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  58,               1.787,              1.4037,              1.5703,             0.24889,             0.18128,             0.15046,            0.082015,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,               1.771,              1.3983,              1.5841,             0.20732,             0.17912,             0.13794,            0.076635,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.7407,              1.3564,              1.5628,             0.19013,              0.1836,             0.13255,            0.072561,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.7453,              1.3385,              1.5606,             0.23622,             0.14749,             0.14846,            0.087561,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.7214,              1.3117,              1.5475,             0.21515,             0.16392,             0.12601,            0.068014,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.7007,              1.2779,              1.5392,             0.21754,             0.18744,              0.1353,            0.076103,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.7013,              1.2786,              1.5396,             0.26956,             0.17208,             0.13998,            0.075988,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.7002,              1.2704,              1.5401,             0.38509,             0.16714,             0.13464,            0.072907,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.6727,               1.237,              1.4969,              0.2117,             0.16618,             0.13808,            0.076359,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.6691,              1.2109,              1.5089,             0.21715,             0.19004,             0.13814,            0.074003,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.6243,              1.1628,               1.478,             0.22318,             0.17873,             0.14597,            0.083087,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.6081,              1.1722,              1.4843,             0.25434,             0.16633,             0.14412,            0.080355,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.5881,              1.1349,              1.4641,             0.24923,             0.16828,             0.14909,            0.085276,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.5801,              1.1435,              1.4585,             0.25293,             0.17663,             0.15548,            0.091199,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.5455,              1.0916,              1.4388,             0.27204,             0.16147,              0.1492,            0.083371,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.5786,              1.1073,              1.4587,              0.2819,             0.16584,             0.14575,            0.082759,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,               1.516,              1.0535,              1.4253,             0.22195,             0.16955,             0.13893,             0.08088,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.5198,              1.0568,              1.4339,             0.30245,             0.15707,             0.13792,             0.07884,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,               1.506,              1.0386,              1.4181,             0.27712,             0.16527,             0.13296,            0.072526,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.4726,              1.0096,              1.4015,             0.21032,             0.17874,             0.13738,            0.074972,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.4818,              1.0169,              1.4038,             0.20861,             0.16632,             0.14105,            0.081343,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.4705,              1.0069,              1.4082,             0.22299,             0.18176,             0.13997,            0.080201,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.4702,             0.99288,              1.3957,              0.2745,             0.16318,             0.14687,              0.0841,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,               1.451,             0.98275,              1.3835,             0.21815,             0.17678,             0.13828,            0.078602,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.4184,             0.95422,              1.3842,             0.24744,             0.15538,             0.13638,            0.074543,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.4237,             0.96134,              1.3823,             0.27425,             0.16833,             0.14511,            0.079473,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.3988,             0.94107,              1.3649,             0.23769,             0.18059,             0.13934,             0.07732,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.4098,             0.93017,              1.3627,             0.26259,             0.16695,             0.13575,              0.0742,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.3741,             0.90794,              1.3387,             0.27748,             0.15854,             0.13836,            0.076435,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,                1.35,              0.8883,              1.3534,             0.26527,             0.16118,             0.14371,            0.081926,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.3471,             0.89284,              1.3288,             0.22177,             0.17109,             0.13263,            0.075364,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.3354,             0.88109,              1.3375,             0.24695,             0.17322,             0.13685,             0.07689,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.3008,             0.86041,              1.3105,             0.19605,             0.18774,             0.13746,            0.076937,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.3226,              0.8669,              1.3187,             0.22204,             0.17344,             0.13817,            0.077671,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.3116,             0.85829,              1.3131,             0.20093,             0.17898,             0.13585,            0.076516,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.3256,             0.86104,              1.3254,             0.19903,              0.1869,             0.13429,            0.075131,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.2844,             0.82657,              1.3047,             0.24731,             0.15409,             0.13376,            0.074711,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.2574,             0.81827,              1.3003,             0.21393,             0.16841,             0.13445,            0.076336,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.2641,             0.82355,              1.2925,             0.22287,             0.17319,             0.13888,            0.077412,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.2584,             0.80982,              1.2908,             0.22719,             0.17231,             0.13915,            0.077277,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.2496,              0.8029,              1.2988,             0.20685,             0.17258,             0.13725,             0.07489,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.2192,              0.7819,              1.2779,             0.22578,              0.1685,             0.14371,            0.081506,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
